"","Pop.fac","Pop.num","Model","T.min","T.max","T.br","T.opt","r.max","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1","1",1,"Lactin 2",7.67966149475118,39.9034146117462,15.5937054558009,34.3855246406053,3.66278123020193,7.7,39.9,15.65,34.45,3.64139311607825
"2","10",2,"Lactin 2",5.46040506600997,39.9931389489205,18.3353131897293,32.45475591932,3.16763111375775,5.5,39.95,18.25,32.5,3.15010134755468
"3","11",3,"Lactin 2",6.22087054921709,39.9373970087451,16.987868616859,33.3871899349572,3.65026769684443,6.25,39.9,17,33.45,3.62420029680725
"4","14",4,"Lactin 2",6.87399079864912,39.7775789562917,17.3540069400893,32.6451611395212,3.75605028640121,6.95,39.75,17.3,32.7,3.73233039333539
"5","15",5,"Lactin 2",6.24543125114615,39.7949482417059,17.9489747761621,32.2862009719176,3.52778097390715,6.3,39.75,17.85,32.35,3.49749711440422
"6","16",6,"Lactin 2",5.68007131241269,39.9354255483632,18.4519847810569,32.0941264650072,3.56663659802574,5.75,39.9,18.4,32.1,3.55057018995063
"7","17",7,"Lactin 2",7.4775450938777,39.9657032539913,12.7429184917906,36.7281086869906,6.1446852043701,7.5,39.95,13.05,36.8,6.03320933589102
"8","18",8,"Lactin 2",6.07700332773792,39.7151949438023,18.2341951346839,32.0400798723738,3.14663528296279,6.15,39.7,18.2,32.05,3.12960936716496
"9","19",9,"Lactin 2",5.06625963888369,39.9495999263838,17.6963760506711,33.0426740407277,3.42585771435195,5.15,39.9,17.7,33.15,3.37365246521785
"10","2",10,"Lactin 2",7.05242749353627,40.0360407917242,17.7086454118819,32.6234199761459,3.59672640900083,7.15,40,17.65,32.7,3.55981282315559
"11","20",11,"Lactin 2",7.20308681676441,39.9427187048958,14.9833215563687,35.0868892871452,3.93101718622885,7.25,39.9,15.2,35.2,3.86882399754328
"12","21",12,"Lactin 2",6.7861903266459,39.8772954116166,16.7006827842217,33.2663489940279,4.43451241027755,6.85,39.85,16.65,33.35,4.4002337914141
"13","22",13,"Lactin 2",8.29448309054632,40.008958444645,16.4153595303868,33.5049266853177,3.85541693491126,8.35,40,16.35,33.6,3.81757766178389
"14","23",14,"Lactin 2",6.51151180023547,39.9792057483342,17.7073257215839,32.5926151594875,3.97950144067359,6.6,39.95,17.65,32.65,3.94283036398936
"15","24",15,"Lactin 2",5.90151815798166,39.9757001780222,17.609550275376,32.974211187262,3.404311859992,5.95,39.95,17.55,33.05,3.37191413438852
"16","25",16,"Lactin 2",6.66678633372328,40.0439632024849,18.2839686792965,32.1631702138592,3.54000011228633,6.7,40,18.25,32.15,3.53088022568129
"17","26",17,"Lactin 2",5.99078990750186,40.064226340579,17.6425746315234,33.0304403250831,3.4192543704061,6.05,40.05,17.55,33.05,3.40364404472507
"18","27",18,"Lactin 2",4.89103253381573,39.9958467617409,18.9157992792151,32.159669748436,2.74979704155894,4.95,39.95,18.9,32.25,2.72978830476714
"19","28",19,"Lactin 2",6.04857778314039,39.98634233011,14.7027857132465,35.2895449201334,5.10708783467455,6.05,39.95,15,35.45,5.00734686091342
"20","29",20,"Lactin 2",6.88056811905087,39.8057611741988,17.5039445631636,32.5892083508339,3.52179607870003,6.95,39.8,17.45,32.65,3.48914661716415
"21","3",21,"Lactin 2",7.09171297982259,39.86774628496,17.6914548372621,32.3767925022104,3.75101462291143,7.15,39.85,17.65,32.4,3.7190680472253
"22","30",22,"Lactin 2",5.34047123390772,39.9728521403359,18.6044120646405,32.0782031584682,3.54580550844003,5.4,39.95,18.55,32.1,3.53173069529274
"23","31",23,"Lactin 2",6.58242265601052,39.9477463184148,17.5441384795329,32.7334923198564,3.81003833024573,6.65,39.9,17.5,32.8,3.76049597174201
"24","32",24,"Lactin 2",7.25956325135027,39.9176857859028,16.9288116265342,33.222563320562,3.486890546303,7.3,39.9,16.9,33.3,3.46543327496566
"25","33",25,"Lactin 2",5.20790271700271,39.9700937115813,17.1034133455788,33.5692266745096,3.57250837161983,5.25,39.95,17.1,33.65,3.55245884807505
"26","35",26,"Lactin 2",4.55809070034334,39.9039922936396,15.5320203711846,34.8785089829694,4.40574928792827,4.6,39.9,15.8,35.05,4.32150218035681
"27","4",27,"Lactin 2",9.81154667906224,40.0351669646024,15.0077025187639,34.601687176194,3.73897477734175,9.85,40,15.15,34.8,3.67319696871897
"28","5",28,"Lactin 2",5.79162763441549,39.9463310995253,16.6683756474707,33.8468444986216,3.54375876744369,5.85,39.9,16.8,34,3.48733588902638
"29","6",29,"Lactin 2",8.06633355032826,39.8764674330083,15.0300375329279,34.76391779971,3.87298471931978,8.1,39.85,15.15,34.85,3.82395674656828
"30","7",30,"Lactin 2",7.49957192275485,39.9311244260214,15.3182468606191,34.6770417884183,3.86843883546639,7.5,39.9,15.4,34.75,3.83771209158089
"31","8",31,"Lactin 2",8.39100389707871,39.861885681207,15.7925285619092,33.9892574494956,3.55309005703297,8.4,39.85,15.75,34,3.54307197382345
"32","9",32,"Lactin 2",4.17682070866609,39.7943132396183,18.9093518703682,31.8460690465283,3.45147758039209,4.25,39.75,18.85,31.85,3.43597194699438
"33","anc2",33,"Lactin 2",6.98309588883566,39.9283583801403,17.8755058053582,32.3311095858106,3.60430440256762,7.05,39.9,17.8,32.35,3.57719537516404
"34","anc3",34,"Lactin 2",7.64830418678546,40.1161630580375,16.8402364392818,33.4657822172368,3.51394985615688,7.7,40.1,16.8,33.55,3.4906282427831
"35","anc4",35,"Lactin 2",5.7185549588587,39.8011617368327,17.5011298177044,32.8601654273715,3.52951591359869,5.75,39.8,17.5,32.9,3.50938219093088
"36","anc5",36,"Lactin 2",2.70409138800916,39.8804019650967,16.0032393548283,34.8844899079816,4.07518930802565,2.75,39.85,16.05,34.95,4.04661787651831
"37","cc1629",37,"Lactin 2",9.28836815295848,39.8320281997736,16.5849231010061,33.2168078740408,2.47630719836346,9.35,39.8,16.6,33.3,2.45071448422337
"38","cc1690",38,"Lactin 2",6.03838766624802,39.8903960469453,17.2054598117248,33.2143675614707,3.45645768054004,6.1,39.85,17.3,33.4,3.39155228096105
"39","1",1,"Thomas 1",10.5908358923299,39.8814108668767,14.9375599897619,33.1430119527749,3.69924490467564,10.65,39.85,14.9,33.15,3.62209356416084
"40","10",2,"Thomas 1",10.2265563915268,40.0893941849262,17.639966681877,31.5620600530368,3.22948146069584,10.25,40.05,17.6,31.55,3.16461824070114
"41","11",3,"Thomas 1",10.4811492626569,39.9815295176215,16.6040506747389,32.1809770968711,3.70040505937909,10.55,39.95,16.55,32.2,3.59982019211969
"42","14",4,"Thomas 1",10.5387518835823,39.7814045741198,16.6365518613141,31.9208098062535,3.8335184217056,10.55,39.75,16.6,31.9,3.76771572211631
"43","15",5,"Thomas 1",10.5774091131067,39.8361492313547,17.3452101344368,31.4307508904925,3.60925839325587,10.6,39.8,17.3,31.45,3.51625369367141
"44","16",6,"Thomas 1",10.3105457065747,40.0321255599032,18.0949694623495,31.0865186868879,3.6252286115213,10.35,40,18.05,31.1,3.55240779734528
"45","17",7,"Thomas 1",11.2708069159476,39.9358485144602,13.2566771949496,34.1108725526064,5.8504884967095,11.4,39.9,13.25,34.15,5.32823932171863
"46","18",8,"Thomas 1",10.5253261754918,39.7542040601901,17.4309581849283,31.2718549412881,3.2295228938117,10.55,39.75,17.4,31.3,3.16494100869207
"47","19",9,"Thomas 1",10.5775273063608,40.0417919706797,17.3152216967534,31.7000425755985,3.52480212741208,10.65,40,17.3,31.7,3.34449460770217
"48","2",10,"Thomas 1",10.4750359183285,40.1085795789445,17.2166571406087,31.8742760404376,3.68455649453026,10.55,40.05,17.2,31.9,3.56821607299696
"49","20",11,"Thomas 1",10.7735745102648,39.9251093738894,14.8241776965754,33.2440563473443,3.88537360442266,10.85,39.9,14.8,33.25,3.72960891113444
"50","21",12,"Thomas 1",10.5695799026734,39.8849471042882,16.1027468343346,32.4091073323848,4.52405210699881,10.6,39.85,16.05,32.4,4.41597685951753
"51","22",13,"Thomas 1",10.6035318378193,40.0398729875752,15.9466435869419,32.6818127066973,3.92265603122906,10.65,40,15.9,32.7,3.81637473270275
"52","23",14,"Thomas 1",10.4015216855786,40.0592315867314,17.4390768547688,31.6545955205233,4.0266941798875,10.45,40.05,17.4,31.65,3.92700556481611
"53","24",15,"Thomas 1",10.4186339532731,40.0502073093421,17.1182178238858,31.8909760321964,3.4720414561011,10.45,40,17.1,31.9,3.36703685365744
"54","25",16,"Thomas 1",10.0982958556476,40.1478844098391,18.2646309909347,31.1304262057351,3.54531699051453,10.15,40.1,18.2,31.15,3.51090106799145
"55","26",17,"Thomas 1",10.1758969904403,40.1619450458284,17.1707132636194,32.0195633878278,3.46207567189693,10.2,40.15,17.1,32,3.39600291270842
"56","27",18,"Thomas 1",10.5632477791926,40.2865107999057,18.9775604395726,30.461562608412,2.89049930049435,10.6,40.2,18.95,30.5,2.68982597730439
"57","28",19,"Thomas 1",10.8545409122144,40.0152792129506,14.9489336333436,33.260176899099,5.02102745433592,10.95,40,14.95,33.25,4.72394475236339
"58","29",20,"Thomas 1",10.6309710939567,39.8269171985373,16.7181976763828,31.8991365050361,3.62612856472814,10.65,39.8,16.7,31.9,3.52635971572489
"59","3",21,"Thomas 1",10.6147033925781,39.9095534491612,17.2010165876592,31.6274311418969,3.84703201342049,10.65,39.9,17.15,31.65,3.73668240061833
"60","30",22,"Thomas 1",10.2035915833876,40.0964897175031,18.2778270281747,31.0282357365912,3.59052817418581,10.25,40.05,18.25,31.05,3.5287921340802
"61","31",23,"Thomas 1",10.5894912844379,40.0152881934577,17.1381313188772,31.8060481418424,3.90525842871307,10.65,40,17.1,31.8,3.75509289497722
"62","32",24,"Thomas 1",10.4812549940979,39.9397594459365,16.3486787378268,32.3129880537871,3.5491326644471,10.5,39.9,16.35,32.3,3.47726158296422
"63","33",25,"Thomas 1",10.3967672830113,40.0402299455961,16.7514060585663,32.1539669499115,3.61538270741129,10.45,40,16.7,32.15,3.51129742521494
"64","35",26,"Thomas 1",10.8858151507858,39.8852675469057,15.4581491769156,32.799958279137,4.41615932073824,10.95,39.85,15.4,32.8,4.14508443959746
"65","4",27,"Thomas 1",11.2023913777941,40.0525745077627,14.378386866592,33.612599814856,3.87403851805387,11.35,40,14.35,33.6,3.6644453657764
"66","5",28,"Thomas 1",10.767295637243,39.969170226966,15.6835229815435,32.7587053207624,3.71107959249471,10.85,39.95,15.65,32.75,3.51042984902337
"67","6",29,"Thomas 1",10.8495963027145,39.8206057578569,14.6166083458308,33.2495131365847,3.86431637980792,10.9,39.8,14.6,33.25,3.74699905935509
"68","7",30,"Thomas 1",10.596391530222,39.9167751622293,14.8900722814216,33.2089182662392,3.85713513551197,10.65,39.9,14.85,33.2,3.76954745548496
"69","8",31,"Thomas 1",10.5454202012348,39.8363215646161,15.167578249029,32.9588517426399,3.59071670374171,10.6,39.8,15.1,32.95,3.54241931201364
"70","9",32,"Thomas 1",10.4029392256838,39.8976759328375,18.1384468107576,30.8541590103711,3.54598242977355,10.45,39.85,18.1,30.85,3.46073851162434
"71","anc2",33,"Thomas 1",10.4780173386266,40.0062136688934,17.8007408237642,31.2743668118641,3.64219894224939,10.5,39.95,17.75,31.3,3.55086741856221
"72","anc3",34,"Thomas 1",10.3058143089732,40.1686804720252,16.1601885549968,32.7155424139161,3.5844265004746,10.35,40.15,16.1,32.7,3.51009328316526
"73","anc4",35,"Thomas 1",10.5358517960117,39.8205896080248,16.7737894975635,31.8651714573689,3.61270650481168,10.55,39.8,16.7,31.85,3.52661309452298
"74","anc5",36,"Thomas 1",10.6324863023934,39.8471002839948,15.7042284208928,32.6244795871909,4.04907199692144,10.7,39.8,15.7,32.65,3.88842209514374
"75","cc1629",37,"Thomas 1",10.9313102588056,39.8137325274762,15.7131291313814,32.5500731029268,2.56802826957113,11,39.8,15.7,32.55,2.48729418733881
"76","cc1690",38,"Thomas 1",10.848344196146,39.9362351990042,16.5250393415658,32.1343741107691,3.62243617973139,10.9,39.9,16.5,32.15,3.39488868835461
