"","model","Mean_AICc","AICc_pop1","AICc_pop2","AICc_pop3","AICc_pop4","AICc_pop5","AICc_pop6","AICc_pop7","AICc_pop8","AICc_pop9","AICc_pop10","AICc_pop11","AICc_pop12","AICc_pop13","AICc_pop14","AICc_pop15","AICc_pop16","AICc_pop17","AICc_pop18","AICc_pop19","AICc_pop20","AICc_pop21","AICc_pop22","AICc_pop23","AICc_pop24","AICc_pop25","AICc_pop26","AICc_pop27","AICc_pop28","AICc_pop29","AICc_pop30","AICc_pop31","AICc_pop32","AICc_pop33","AICc_pop34","AICc_pop35","AICc_pop36","AICc_pop37","AICc_pop38"
"1","Deutsch",11.9492893956712,-18.4320531991891,3.55496304674329,0.308960223511063,-7.38032445315498,18.813025186392,11.6788144169766,33.4778457179399,-27.8836328988658,26.5176269893455,31.6389484228867,17.9893268723307,-0.226863922267629,14.0634082421836,20.6560186900982,13.5651082098551,8.02108999370043,-8.87923407750174,38.8286758209178,37.8431201405202,14.5927739526288,25.7248418747889,6.32408512099222,33.8197165153455,-0.479286606309209,-12.3718655237374,29.5988583288672,33.07560368818,31.4562185044051,0.691918908499149,-0.28458679924031,-13.7561524242602,-9.64045289520152,24.1855873734998,3.02571725077744,7.16316307202226,17.278310781502,14.5215181366777,34.9922043536456
"2","Lactin2",13.6880935810416,-10.5603892990961,3.85206395229066,-0.110582434413679,-4.75217716808637,19.4509605152865,15.1604110265485,44.1977482370858,-27.3828494668474,25.0628622949868,33.9560095718852,19.4813669597247,3.04549140513359,15.4297103248784,19.7883326839584,13.956064627964,7.75290795721806,-9.19063526518275,39.8781581569751,38.6754842949057,14.4265555275579,26.8847243339563,6.38967866172431,34.9851050092676,3.01356353232275,-12.1554869886211,28.3085212874957,34.6732963664159,34.7149405442141,5.7052132345334,10.0451362239476,-10.601121645472,-7.93291539225308,24.4866624819218,5.24111978681644,6.68985820336877,15.3261776259429,16.4765238798323,35.7790650313946
"3","Ratkowsky",15.5072942629251,-7.58166949077916,5.69622312276545,2.00764510069625,7.16689691605847,22.6664739883398,12.0446104741022,31.6688581613964,-5.04666094075003,25.85361282302,32.2945693251366,20.1094307740889,8.95970461361135,14.3259075631677,20.9052372930292,14.3926437342502,9.19443727121496,-10.6655060642126,39.2758640561954,38.2920121540767,17.9473518088588,27.554926186248,6.62733012749371,35.246191170518,3.19041621340113,-10.1743310754603,31.9310144018398,33.4670596013823,33.2920980475482,11.3563458247473,5.84191280253741,-2.76424419087923,-3.8059314820861,27.0822509700026,2.56297569014262,12.9234502896792,21.8586420553224,17.2780270101906,36.3014056642604
"4","Ratkowsky bounded",16.1199452465464,5.73640227747521,5.55823111766983,2.00766958742748,7.12769663782352,22.633757711744,11.6559208735224,36.3173095990078,-5.86827976374109,25.7041550885867,32.1545665662505,20.0704104846396,8.96004879123207,14.3259075631677,20.9052714095517,14.3876027416356,9.19443727121496,-10.4985765704876,39.2758640561954,38.2026069980971,17.1267141841421,27.4830842175427,6.62734427931357,35.2461911755093,3.19063023057095,-10.2172266448936,33.3912513794791,33.4878726289396,32.9838854190262,11.3594184979386,5.63879778321114,5.03554993474697,-4.18756552861409,27.0822567532983,2.86032112034011,12.3584565178153,21.7987813997878,17.196032541414,36.2451210381831
"5","Rezende",13.1024590233861,-23.9134458747063,5.16732409503124,5.71205588276516,-4.44375095902305,19.877755759802,16.7445860570592,30.107267188041,-31.7367042991672,26.4478848668241,31.7804314841691,17.9153237712757,5.44465916509311,16.1988228342033,25.0010366113514,16.9716390713937,16.4653631019898,-8.43710080780481,41.4768090586021,37.5682541210393,12.5161432096431,28.5805773593725,10.6283067152649,35.6236458971269,1.88646971431073,-6.08549836484664,30.263740520344,32.0719999975711,28.303454134349,1.71025560947271,3.56737235097705,-14.8193171924248,-9.18094676117111,29.7626002088733,-0.521058136178638,6.28726643838002,13.4221593072634,14.6210047075855,34.9070560448208
"6","Ashrafi II",72.4522071152632,74.7490065497123,64.9401002646432,71.6261174288694,77.1508999923191,72.3961287613516,65.5926608538853,95.5276426057131,65.0945585148038,71.6611849481085,73.2451575297479,75.4239387882927,80.3246071660278,74.8885743735794,71.5880640685141,70.1533736733664,66.7812238891264,67.0880937826702,56.8715734597726,87.7664067553177,72.0686846535664,71.4960347989377,62.064040890128,75.3793781108683,72.0967468526565,66.6736634901748,81.133555138094,76.1109272373907,78.5385982351263,79.1936452648388,76.3182317488054,74.1394169597146,63.064203238574,67.2390559330184,69.6240437700603,68.1482437075782,81.2210591312398,63.2778534562614,72.5271743571468
"7","Atkin",43.5554850765304,35.1517476902064,41.8180870635991,46.609524029582,46.3510352704099,45.8754954354174,34.8453968968599,65.2070844874968,37.8511395422092,49.9308666647807,42.2883012686837,43.5190654318584,53.0003224059048,39.6301323689683,47.0206927554533,48.0833757446245,38.3701931190224,34.291301868789,42.1855538614095,54.4904529080915,42.6760576385332,43.3577401028358,38.7341642886333,53.2326734984494,38.9685376533232,42.4606009189654,60.0277090333409,40.9405331495207,42.4019803882329,43.2177445926087,31.8778784457514,36.6512799778594,37.246524136899,50.8477146247834,29.6805809384955,42.6494723559933,53.971983638358,31.2544819770958,48.3910067351106
"8","Mitchell-Angilletta",61.3679054704831,60.905234681305,56.4936051385728,63.2559595739344,65.7592444686338,62.2000322936414,51.1914401829241,85.5099304724533,55.5462797114426,66.5754105097675,55.8128127823158,63.1722695909756,69.2962696138417,61.3055944348397,63.4273162792558,62.0603484159048,55.864836396747,55.2344255842779,48.5590861616546,75.2634291395492,61.8600086682244,57.91009875125,54.8937683340026,64.4600966362275,58.3091873824632,58.7489202364128,74.4959247418731,63.4846204916346,58.7150627029782,65.7762539418471,58.3599835858961,62.5025274389445,53.5470494364455,61.8620851432603,54.0338796157568,59.3736630837999,73.2616940790355,51.5192048482662,61.4328533280032
"9","Analytis-Kontodimas",37.7926172769232,32.6446944908574,36.6902359598836,39.8780276604795,33.9454327490225,36.6050944925593,27.2599995666137,67.2040426819722,24.4698112630441,47.8923071465662,35.4987370358309,40.842133452404,40.5304994273885,36.2652421339811,39.3309872380927,41.8187364095866,29.0052987021969,30.2630477762488,38.8882391034916,55.1115345230705,36.2200667164432,33.7898848337485,30.6163699573192,44.5564847624154,29.3830557847674,35.2952590378575,55.7683456351069,47.2827089114058,34.799814341551,38.1042879936732,25.6415347278345,35.3809274107279,27.2933838268648,39.632222519244,30.3122665209839,33.1209487166693,52.3771277097667,29.9601956693594,42.4404696340512
"10","Eubank",60.7357312168005,52.3874762379302,57.4823916290439,62.7484795756818,67.9556516539044,65.3167684383679,59.7109098085018,70.9238978816614,60.488330036431,63.654863624328,59.0838145904517,56.7721028262478,73.3737880140036,57.9189768812857,67.6524215711448,62.920076362323,61.5889750522879,55.0054152719276,55.8572564779749,67.073844387054,61.6726079560372,64.7814102663086,60.8222505021506,69.7826156170829,58.8723440187571,60.4695278019318,70.6476373577701,48.9128946844967,55.5854125700049,58.4653816131108,53.2071634693345,53.3799930220534,61.5261352413602,69.5951992418008,47.0869328296589,63.2798018634871,65.329755585338,43.9616407006987,62.6636415764845
"11","Taylor-Sexton",31.5778320822441,21.9235527852569,32.1182628691654,33.9197656986987,27.3271155884227,32.0493601825067,21.1002781770197,58.2473027108642,17.3544893975548,42.2645416955749,35.8632570577522,34.4590925801685,35.1975831893942,29.3676896366198,32.4866771367888,37.4287143546739,21.4363725932021,23.4313562351006,37.0494918857476,48.5296236059978,31.2075039920794,31.267932522567,21.6066918084651,42.2076840870067,23.9272595386319,28.7296084209387,51.8617768634708,39.4953838855373,32.1330785620014,26.9554030780146,13.086169097073,23.9775112856782,16.176534400031,34.1266800599454,24.8612683673201,27.1395003149069,46.7669885436703,22.4017052662325,40.4744116511975
"12","Briere",23.6234409140718,16.940576722627,9.71464408769347,14.9864705124405,20.7182025556105,27.8897781207225,19.4145926534372,54.1924015650592,8.00153195401324,29.490172701236,34.6043026945957,30.208459521314,19.139221517909,20.0890773130037,22.0565822228187,20.360694873294,7.13987499651658,-6.0495835473959,40.3601107024707,45.5848052508862,25.0360411338169,32.2288275734224,9.17247767740179,36.8772093476525,13.9351523913394,-2.58735291188099,43.2629813787675,35.7323304021346,41.2750748508402,29.7472566688228,18.7336664751114,18.2460883416659,10.4319177889089,23.3476372411462,7.2360319923649,17.978374455456,38.8588483939696,23.6078694403374,39.7284056751981
