"population","salt","pop.ID","µ"
"14",0,"14.0",1.19676011768276
"17",0,"17.0",0.78584756057651
"3",0,"3.0",1.33932538165858
"18",0,"18.0",1.2112344071546
"19",0,"19.0",1.09596060781408
"26",0,"26.0",1.25641384316749
"14",1,"14.1",1.46727848718095
"17",1,"17.1",1.0690341349579
"3",1,"3.1",1.24987159028163
"18",1,"18.1",1.32844288704809
"19",1,"19.1",1.27948889609974
"26",1,"26.1",1.25330361412358
"14",2,"14.2",1.23856370547441
"17",2,"17.2",1.23053202523818
"3",2,"3.2",1.35320831340223
"18",2,"18.2",1.3737250179502
"19",2,"19.2",1.16205494113153
"26",2,"26.2",1.20654879449304
"14",3,"14.3",1.02284109111461
"17",3,"17.3",1.23560659797608
"3",3,"3.3",0.647360512529434
"18",3,"18.3",0.996442672411657
"19",3,"19.3",0.567962976147723
"26",3,"26.3",0.747245897862868
"14",4,"14.4",1.17819773982907
"17",4,"17.4",0.377430631217711
"3",4,"3.4",0.0207219693641078
"18",4,"18.4",1.14536629044525
"19",4,"19.4",0.201845236861155
"26",4,"26.4",0.341396808863317
"14",5,"14.5",0.843602638151395
"17",5,"17.5",0.265581634326588
"3",5,"3.5",-0.0838631556444106
"18",5,"18.5",0.840946437102405
"19",5,"19.5",-0.130363078778234
"26",5,"26.5",0.180518084591744
"14",6,"14.6",0.832692397183105
"17",6,"17.6",0.0796055910078268
"3",6,"3.6",-0.0617355352677508
"18",6,"18.6",0.769746067344992
"19",6,"19.6",-0.0757325809183344
"26",6,"26.6",-0.0386774531910754
"14",7,"14.7",0.674120321795259
"17",7,"17.7",0
"3",7,"3.7",-0.0392617766786724
"18",7,"18.7",0.64258976123568
"19",7,"19.7",0.0837998240768416
"26",7,"26.7",-0.014267317640252
"14",8,"14.8",0.755216081489001
"17",8,"17.8",0.0659656508264516
"3",8,"3.8",0.0769008672548401
"18",8,"18.8",0.688566870436023
"19",8,"19.8",-0.129472239229965
"26",8,"26.8",0
"14",9,"14.9",0.674804267359313
"17",9,"17.9",0.0156979565719904
"3",9,"3.9",0
"18",9,"18.9",0.588245558673524
"19",9,"19.9",-0.151228257524407
"26",9,"26.9",-0.0653400903726011
"1",0,"1.0",1.12559662087525
"33",0,"33.0",1.46921368682936
"2",0,"2.0",1.183608505811
"10",0,"10.0",1.34647216200025
"6",0,"6.0",1.06997069576226
"1",1,"1.1",1.31258744979116
"33",1,"33.1",1.16253700170966
"2",1,"2.1",1.05193226266793
"10",1,"10.1",1.16433716104151
"6",1,"6.1",1.07021027780081
"1",2,"1.2",0.106907242238014
"33",2,"33.2",1.09150996534617
"2",2,"2.2",1.28802849001989
"10",2,"10.2",1.11428800402757
"6",2,"6.2",1.03185677009355
"1",3,"1.3",0.685547349746705
"33",3,"33.3",0.707164181723592
"2",3,"2.3",1.26638368883036
"10",3,"10.3",0.76308870424756
"6",3,"6.3",0.891706764514989
"1",4,"1.4",0.133495047442725
"33",4,"33.4",0.0919674209833189
"2",4,"2.4",1.08103307754597
"10",4,"10.4",0.264312411270506
"6",4,"6.4",0.328061490202589
"1",5,"1.5",0.0307241781602662
"33",5,"33.5",0.08382301708677
"2",5,"2.5",1.00706052878952
"10",5,"10.5",0.132143305154271
"6",5,"6.5",0.0389020827235474
"1",6,"1.6",0.0447934320009143
"33",6,"33.6",-0.0248008219180487
"2",6,"2.6",0.968717866259609
"10",6,"10.6",-0.111271167541364
"6",6,"6.6",-0.042751198000617
"1",7,"1.7",-0.0833609629724825
"33",7,"33.7",0.0404587416757179
"2",7,"2.7",0.920488721701677
"10",7,"10.7",-0.0977151001756037
"6",7,"6.7",-0.00811815005378917
"1",8,"1.8",-0.122450460398623
"33",8,"33.8",0.0920579785502271
"2",8,"2.8",0.982234374738919
"10",8,"10.8",-0.314000198480958
"6",8,"6.8",-0.301988879925514
"1",9,"1.9",-0.298722071429983
"33",9,"33.9",-0.271872535830201
"2",9,"2.9",0.748295376256482
"10",9,"10.9",-0.262695060474668
"6",9,"6.9",-0.2940895933335
"20",0,"20.0",1.39411998491285
"30",0,"30.0",1.44130469861322
"29",0,"29.0",1.04203509669132
"23",0,"23.0",1.36291524733282
"16",0,"16.0",1.18079718506328
"35",0,"35.0",1.76955272788813
"20",1,"20.1",1.16239205413034
"30",1,"30.1",1.31876462057965
"29",1,"29.1",0.972726686595193
"23",1,"23.1",1.42056988661829
"16",1,"16.1",1.08170549446381
"35",1,"35.1",1.25436732170268
"20",2,"20.2",1.25397508948918
"30",2,"30.2",1.23765347185621
"29",2,"29.2",1.2583665743567
"23",2,"23.2",1.54371104663924
"16",2,"16.2",1.31667577763953
"35",2,"35.2",1.1882828707351
"20",3,"20.3",0.752894749331034
"30",3,"30.3",0.532149082567654
"29",3,"29.3",0.869265765638863
"23",3,"23.3",0.810027164456321
"16",3,"16.3",0.99974048420281
"35",3,"35.3",0.771120453944588
"20",4,"20.4",0.306691162698205
"30",4,"30.4",0.31230208790909
"29",4,"29.4",0.367315113055267
"23",4,"23.4",0.493567841803882
"16",4,"16.4",0.669194464682069
"35",4,"35.4",0.742996776727354
"20",5,"20.5",-0.0572498438738366
"30",5,"30.5",-0.00407240300470819
"29",5,"29.5",0.149972216362079
"23",5,"23.5",0.291296139652483
"16",5,"16.5",0.120468434282609
"35",5,"35.5",0.125492372400472
"20",6,"20.6",-0.092053817390144
"30",6,"30.6",-0.0160061416778818
"29",6,"29.6",0.00963053526539119
"23",6,"23.6",0.536160319659118
"16",6,"16.6",0.747264889353611
"35",6,"35.6",0.0433191236884114
"20",7,"20.7",-0.130783275800996
"30",7,"30.7",-0.103731085681807
"29",7,"29.7",-0.0833079260353621
"23",7,"23.7",0.0337442860141477
"16",7,"16.7",0.118283147090264
"35",7,"35.7",0.0929172637779226
"20",8,"20.8",-0.140607926384142
"30",8,"30.8",-0.234171651628357
"29",8,"29.8",0.657795809841975
"23",8,"23.8",-0.228269802519701
"16",8,"16.8",0.45959393718567
"35",8,"35.8",0.771458601358538
"20",9,"20.9",-0.271096671283591
"30",9,"30.9",-0.241607268714648
"29",9,"29.9",0.421427189335199
"23",9,"23.9",-0.0531017172359172
"16",9,"16.9",0.461030771702594
"35",9,"35.9",0.545818675313802
"15",0,"15.0",1.06353712924215
"cc1690",0,"cc1690.0",1.13707560133407
"Anc 3",0,"Anc 3.0",1.45283523789275
"27",0,"27.0",1.33299913325777
"28",0,"28.0",0.944837443075305
"25",0,"25.0",1.35249851972095
"Anc 4",0,"Anc 4.0",1.36227221563982
"15",1,"15.1",0.990440609654977
"cc1690",1,"cc1690.1",1.24319831367092
"Anc 3",1,"Anc 3.1",1.29799180103417
"27",1,"27.1",1.19339138874223
"28",1,"28.1",1.14442229100057
"25",1,"25.1",1.22124938700449
"Anc 4",1,"Anc 4.1",1.31726139420609
"15",2,"15.2",0.949152439789801
"cc1690",2,"cc1690.2",1.20068017168585
"Anc 3",2,"Anc 3.2",1.16903792694129
"27",2,"27.2",1.10519466801272
"28",2,"28.2",1.38892436541989
"25",2,"25.2",1.49068040771068
"Anc 4",2,"Anc 4.2",1.16870837739472
"15",3,"15.3",0.760647780405884
"cc1690",3,"cc1690.3",0.543366450332786
"Anc 3",3,"Anc 3.3",0.796658339678086
"27",3,"27.3",0.627133631257651
"28",3,"28.3",0.657225747622672
"25",3,"25.3",1.32338834816953
"Anc 4",3,"Anc 4.3",0.603477223700427
"15",4,"15.4",1.04805688147199
"cc1690",4,"cc1690.4",0.287169765352784
"Anc 3",4,"Anc 3.4",0.328451639963499
"27",4,"27.4",0.181521321022737
"28",4,"28.4",0.325710498079846
"25",4,"25.4",1.30817535688642
"Anc 4",4,"Anc 4.4",0.483882512944927
"15",5,"15.5",1.13988447272449
"cc1690",5,"cc1690.5",0.116367089894063
"Anc 3",5,"Anc 3.5",0.294541261693886
"27",5,"27.5",-0.0418470855154152
"28",5,"28.5",0.285977758794264
"25",5,"25.5",0.743948720692666
"Anc 4",5,"Anc 4.5",0.34221642397105
"15",6,"15.6",1.02186699686633
"cc1690",6,"cc1690.6",-0.0682915528445862
"Anc 3",6,"Anc 3.6",-0.0336297156156096
"27",6,"27.6",0.0207885946050859
"28",6,"28.6",0.0685154623346888
"25",6,"25.6",0.987236487820996
"Anc 4",6,"Anc 4.6",-0.0834979889243555
"15",7,"15.7",0.814662222725714
"cc1690",7,"cc1690.7",-0.0900094581415226
"Anc 3",7,"Anc 3.7",-0.114171766989053
"27",7,"27.7",-0.101874127859658
"28",7,"28.7",0.000844111786322614
"25",7,"25.7",0.456914215342219
"Anc 4",7,"Anc 4.7",0.0145859203917782
"15",8,"15.8",0.782480673353109
"cc1690",8,"cc1690.8",-0.321356140087693
"Anc 3",8,"Anc 3.8",-0.204766493458477
"27",8,"27.8",0.103656441803252
"28",8,"28.8",0.0582035249192216
"25",8,"25.8",-0.236727612207832
"Anc 4",8,"Anc 4.8",-0.0368187484469064
"15",9,"15.9",0.762405022850951
"cc1690",9,"cc1690.9",-0.338351222182379
"Anc 3",9,"Anc 3.9",-0.211131881314866
"27",9,"27.9",-0.156669241283405
"28",9,"28.9",0.0834225824280932
"25",9,"25.9",-0.352601213176074
"Anc 4",9,"Anc 4.9",0
"8",0,"8.0",1.38476718643946
"31",0,"31.0",1.53727009230485
"4",0,"4.0",1.21710720758023
"Anc 2",0,"Anc 2.0",1.307049052473
"11",0,"11.0",1.14770309513104
"24",0,"24.0",1.75364394817082
"8",1,"8.1",1.43819217311054
"31",1,"31.1",1.36081175470554
"4",1,"4.1",1.2175968920801
"Anc 2",1,"Anc 2.1",1.251299829474
"11",1,"11.1",1.03343016463307
"24",1,"24.1",1.60939078471217
"8",2,"8.2",1.36730643026862
"31",2,"31.2",1.11963347832349
"4",2,"4.2",1.07546979326551
"Anc 2",2,"Anc 2.2",1.19723811855615
"11",2,"11.2",1.29285661915364
"24",2,"24.2",1.30981149832925
"8",3,"8.3",0.688199542506128
"31",3,"31.3",0.657618564783831
"4",3,"4.3",1.14641533301123
"Anc 2",3,"Anc 2.3",0.792857164047345
"11",3,"11.3",0.661593818700791
"24",3,"24.3",0.535653281752255
"8",4,"8.4",0.24276488535021
"31",4,"31.4",0.0190494296373228
"4",4,"4.4",0.866709227313501
"Anc 2",4,"Anc 2.4",0.357783176445137
"11",4,"11.4",0.113386196674108
"24",4,"24.4",0.0192003522608865
"8",5,"8.5",0.359728325567882
"31",5,"31.5",-0.200153002529796
"4",5,"4.5",0.678238972706518
"Anc 2",5,"Anc 2.5",0.240561458927138
"11",5,"11.5",0.0748979569563497
"24",5,"24.5",-0.0116412058418599
"8",6,"8.6",-0.204854835821944
"31",6,"31.6",0.11991135902426
"4",6,"4.6",0.583721856355379
"Anc 2",6,"Anc 2.6",-0.0142070562020607
"11",6,"11.6",0.235390918313912
"24",6,"24.6",-0.106214003731059
"8",7,"8.7",0.254487414349027
"31",7,"31.7",0
"4",7,"4.7",0.370557942097565
"Anc 2",7,"Anc 2.7",-0.0868343229796529
"11",7,"11.7",-0.136314918003701
"24",7,"24.7",0
"8",8,"8.8",-0.106023186225521
"31",8,"31.8",-0.132426179027478
"4",8,"4.8",0.317273637223633
"Anc 2",8,"Anc 2.8",-0.190502860127625
"11",8,"11.8",0.338912417223741
"24",8,"24.8",0.0505626965612738
"8",9,"8.9",-0.0530991908712504
"31",9,"31.9",-0.0568824481113862
"4",9,"4.9",0.387520645072626
"Anc 2",9,"Anc 2.9",-0.183931194652455
"11",9,"11.9",-0.0493661805596264
"24",9,"24.9",0.0606051903413817
"Anc 5",0,"Anc 5.0",1.24617681936013
"5",0,"5.0",1.6665556118885
"22",0,"22.0",1.46056430898506
"9",0,"9.0",1.51277286169381
"32",0,"32.0",1.22928257220348
"7",0,"7.0",1.00730389737969
"21",0,"21.0",1.70606793606346
"Anc 5",1,"Anc 5.1",1.26207347645262
"5",1,"5.1",1.32430953153292
"22",1,"22.1",1.57485414713051
"9",1,"9.1",1.48143229443437
"32",1,"32.1",1.1187149880496
"7",1,"7.1",0.830419454391865
"21",1,"21.1",1.52745299175768
"Anc 5",2,"Anc 5.2",1.21503719012157
"5",2,"5.2",1.3951232474496
"22",2,"22.2",1.05971081240342
"9",2,"9.2",1.46919154018842
"32",2,"32.2",1.30377473969866
"7",2,"7.2",0.785955577824374
"21",2,"21.2",1.3046258010463
"Anc 5",3,"Anc 5.3",0.498245136363826
"5",3,"5.3",0.789363652036269
"22",3,"22.3",0.48827670445094
"9",3,"9.3",1.03750442567138
"32",3,"32.3",0.963865936671597
"7",3,"7.3",0.843166459790832
"21",3,"21.3",0.721379229495153
"Anc 5",4,"Anc 5.4",0.236182082013807
"5",4,"5.4",0.358527789292793
"22",4,"22.4",0.18752731574419
"9",4,"9.4",0.724597448369729
"32",4,"32.4",1.01116595203201
"7",4,"7.4",0.399684621395507
"21",4,"21.4",0.13935893507076
"Anc 5",5,"Anc 5.5",0.15037033324613
"5",5,"5.5",0.285973258532376
"22",5,"22.5",0.0406033825670201
"9",5,"9.5",0.626354609777099
"32",5,"32.5",0.650796272710504
"7",5,"7.5",0.285880471140595
"21",5,"21.5",0.00707259580711616
"Anc 5",6,"Anc 5.6",0
"5",6,"5.6",0.228218229499665
"22",6,"22.6",-0.10184005561575
"9",6,"9.6",0.960957698277197
"32",6,"32.6",0.857891304737632
"7",6,"7.6",-0.104830971279834
"21",6,"21.6",-0.108956152042066
"Anc 5",7,"Anc 5.7",-0.121774023224523
"5",7,"5.7",0.228166667657148
"22",7,"22.7",-0.0908884109207977
"9",7,"9.7",0.561993862976623
"32",7,"32.7",0.69452036131235
"7",7,"7.7",0.12026704373722
"21",7,"21.7",-0.142389335908124
"Anc 5",8,"Anc 5.8",-0.146510176126722
"5",8,"5.8",-0.177338609516583
"22",8,"22.8",0.0305698949125331
"9",8,"9.8",0.811454825606258
"32",8,"32.8",-0.145722494189576
"7",8,"7.8",-0.287796136848027
"21",8,"21.8",-0.0696353261744884
"Anc 5",9,"Anc 5.9",-0.285104402591267
"5",9,"5.9",-0.0531022325047689
"22",9,"22.9",-0.100937935354359
"9",9,"9.9",0.582443745463057
"32",9,"32.9",-0.143268983687252
"7",9,"7.9",-0.279247387761443
"21",9,"21.9",-0.191645863217491
